,dealer_id,part_type,total_costs,ISL,total_stockouts,total_demand,immediate_fulfilled,backorder_fulfileed
0,D00,type0,4.078972602739727,1.0,0,21,21.0,0.0
1,D00,type1,3.7967301369863145,1.0,0,22,22.0,0.0
2,D00,type2,1049.5632031840944,0.9895825004341234,4,292,288.95809012676403,3.0419098732359657
3,D00,type3,833.1361032727368,0.9917157069390214,3,260,257.84608380414556,2.1539161958544355
4,D00,type4,4.17545753424655,1.0,0,16,16.0,0.0
5,D01,type0,3.6685109589041365,1.0,0,30,30.0,0.0
6,D01,type1,3.952356164383569,1.0,0,26,26.0,0.0
7,D01,type2,4.49905068493152,1.0,0,6,6.0,0.0
8,D01,type3,609.1938991864909,0.9867549668874173,2,151,149.0,2.0
9,D01,type4,537.7476832064175,0.9895833333333334,1,96,95.0,1.0
10,D01,type5,4.1092643835616665,1.0,0,20,20.0,0.0
